Num_Threads,Size,Data Type,Time
4,1000000,double,0.001005032
4,10000000,double,0.005941523
4,100000000,double,0.070037019
8,100,char,0.000542051
8,1000,char,0.000503027
8,10000,char,0.000486536
8,100000,char,0.000518977
8,1000000,char,0.000933566
8,10000000,char,0.004646419
8,100000000,char,0.041698470
8,100,short,0.000524117
8,1000,short,0.000516092
8,10000,short,0.000485063
8,100000,short,0.000652528
8,1000000,short,0.001063483
8,10000000,short,0.004874907
8,100000000,short,0.041666321
8,100,int,0.000650146
8,1000,int,0.000656661
8,10000,int,0.000505281
8,100000,int,0.000585965
8,1000000,int,0.001051000
8,10000000,int,0.004878601
8,100000000,int,0.040620280
8,100,float,0.000506854
8,1000,float,0.000497927
8,10000,float,0.000487286
8,100000,float,0.000531310
8,1000000,float,0.001287669
8,10000000,float,0.004785852
8,100000000,float,0.039711690
8,100,double,0.000527865
8,1000,double,0.000503278
8,10000,double,0.000503277
8,100000,double,0.000567870
8,1000000,double,0.001108599
8,10000000,double,0.004713977
8,100000000,double,0.043427475
16,100,char,0.001461517
16,1000,char,0.001450027
16,10000,char,0.001835797
16,100000,char,0.001561855
16,1000000,char,0.002139017
16,10000000,char,0.005504361
16,100000000,char,0.034389959
16,100,short,0.001510383
16,1000,short,0.001602467
16,10000,short,0.001616260
16,100000,short,0.001503114
16,1000000,short,0.001917271
16,10000000,short,0.005392742
16,100000000,short,0.037591903
16,100,int,0.001557067
16,1000,int,0.001577156
16,10000,int,0.001561128
16,100000,int,0.001489224
16,1000000,int,0.001913802
16,10000000,int,0.005477379
16,100000000,int,0.033687943
16,100,float,0.001514501
16,1000,float,0.001539817
16,10000,float,0.001505505
16,100000,float,0.001557804
16,1000000,float,0.001820404
16,10000000,float,0.005901422
16,100000000,float,0.036731502
16,100,double,0.001608189
16,1000,double,0.001783685
16,10000,double,0.001479349
16,100000,double,0.001535030
16,1000000,double,0.002474526
16,10000000,double,0.005567531
16,100000000,double,0.035405554
32,100,char,0.003274739
32,1000,char,0.003015748
32,10000,char,0.003059710
32,100000,char,0.003379750
32,1000000,char,0.003872527
32,10000000,char,0.005503018
32,100000000,char,0.034092553
32,100,short,0.003321213
32,1000,short,0.003138860
32,10000,short,0.003290402
32,100000,short,0.003707559
32,1000000,short,0.003272492
32,10000000,short,0.005869416
32,100000000,short,0.036802727
32,100,int,0.003288649
32,1000,int,0.003052538
32,10000,int,0.003283371
32,100000,int,0.003242847
32,1000000,int,0.003480275
32,10000000,int,0.006256555
32,100000000,int,0.037600809
32,100,float,0.003241035
32,1000,float,0.003045642
32,10000,float,0.002992722
32,100000,float,0.003139942
32,1000000,float,0.004028856
32,10000000,float,0.006185500
32,100000000,float,0.038804321
32,100,double,0.003133506
32,1000,double,0.003190708
32,10000,double,0.003284820
32,100000,double,0.003416770
32,1000000,double,0.003542457
32,10000000,double,0.006515165
32,100000000,double,0.033646074
